play_id,game_id,posteam,defteam,down,ydstogo,yardline_100,qtr,score_differential,play_type,yards_gained,epa,success,shotgun,no_huddle,distance_bucket,field_zone
20,DEMO_0000,TEAM_06,TEAM_08,1,5,98,2,-3,pass,6,-0.222,0,1,0,Medium (4-6),Backed Up
21,DEMO_0000,TEAM_07,TEAM_02,3,14,97,4,-3,run,5,0.456,0,1,0,Very Long (11+),Backed Up
22,DEMO_0000,TEAM_05,TEAM_08,3,3,9,4,25,run,1,-1.051,0,0,0,Short (1-3),Red Zone
23,DEMO_0000,TEAM_03,TEAM_09,3,2,78,4,9,pass,12,0.43,1,0,0,Short (1-3),Own Territory
24,DEMO_0000,TEAM_12,TEAM_06,2,9,75,2,-6,pass,6,1.017,1,0,0,Long (7-10),Own Territory
25,DEMO_0000,TEAM_10,TEAM_04,3,6,25,1,-2,run,2,-0.015,1,1,0,Medium (4-6),Plus Territory
26,DEMO_0000,TEAM_08,TEAM_01,2,8,38,2,-8,run,13,-0.076,0,0,0,Long (7-10),Plus Territory
27,DEMO_0000,TEAM_05,TEAM_09,1,8,77,2,19,run,7,0.548,1,1,0,Long (7-10),Own Territory
28,DEMO_0000,TEAM_10,TEAM_08,2,10,82,4,-15,pass,14,0.295,1,1,0,Long (7-10),Backed Up
29,DEMO_0000,TEAM_07,TEAM_06,2,7,40,4,-10,run,6,1.52,1,0,0,Long (7-10),Plus Territory
30,DEMO_0000,TEAM_06,TEAM_09,2,5,63,4,9,run,3,0.054,1,0,0,Medium (4-6),Own Territory
31,DEMO_0000,TEAM_06,TEAM_10,3,7,46,1,17,pass,9,-0.134,1,1,0,Long (7-10),Plus Territory
32,DEMO_0000,TEAM_03,TEAM_07,2,11,14,2,0,pass,-1,0.275,1,1,0,Very Long (11+),Red Zone
33,DEMO_0000,TEAM_02,TEAM_01,1,11,16,4,-3,run,8,0.295,0,1,0,Very Long (11+),Red Zone
34,DEMO_0000,TEAM_07,TEAM_11,1,8,84,2,0,pass,9,-0.084,0,1,0,Long (7-10),Backed Up
35,DEMO_0000,TEAM_11,TEAM_06,3,2,2,1,1,run,4,0.609,1,0,0,Short (1-3),Red Zone
36,DEMO_0000,TEAM_01,TEAM_09,1,8,8,4,21,pass,4,0.077,1,1,0,Long (7-10),Red Zone
37,DEMO_0000,TEAM_11,TEAM_12,3,2,30,1,4,run,11,0.252,1,0,0,Short (1-3),Plus Territory
38,DEMO_0000,TEAM_10,TEAM_04,1,12,81,2,-4,pass,3,1.224,1,1,0,Very Long (11+),Backed Up
39,DEMO_0000,TEAM_04,TEAM_08,1,11,70,3,4,run,2,-0.52,0,0,0,Very Long (11+),Own Territory
40,DEMO_0000,TEAM_08,TEAM_01,3,4,57,1,9,pass,10,0.219,1,1,1,Medium (4-6),Own Territory
41,DEMO_0000,TEAM_02,TEAM_11,1,10,62,4,-9,run,6,1.233,1,1,0,Long (7-10),Own Territory
42,DEMO_0000,TEAM_10,TEAM_01,3,7,15,2,3,pass,21,1.477,1,1,0,Long (7-10),Red Zone
43,DEMO_0000,TEAM_09,TEAM_06,1,4,16,2,0,run,6,-0.239,0,0,1,Medium (4-6),Red Zone
44,DEMO_0000,TEAM_05,TEAM_04,2,10,59,4,-12,run,3,0.421,0,1,0,Long (7-10),Own Territory
45,DEMO_0000,TEAM_01,TEAM_02,2,16,36,1,-4,pass,11,0.181,0,1,0,Very Long (11+),Plus Territory
46,DEMO_0000,TEAM_12,TEAM_06,3,5,55,2,-5,run,5,0.154,1,0,0,Medium (4-6),Own Territory
47,DEMO_0000,TEAM_06,TEAM_12,1,9,64,3,-5,run,1,-0.025,1,1,0,Long (7-10),Own Territory
48,DEMO_0000,TEAM_11,TEAM_02,1,4,32,1,19,pass,-5,-0.405,0,1,0,Medium (4-6),Plus Territory
49,DEMO_0000,TEAM_09,TEAM_04,2,5,85,2,0,pass,2,1.112,1,1,0,Medium (4-6),Backed Up
50,DEMO_0000,TEAM_10,TEAM_03,4,7,81,3,3,pass,7,0.433,1,0,0,Long (7-10),Backed Up
51,DEMO_0000,TEAM_10,TEAM_02,3,4,11,4,7,run,-2,-1.083,0,1,1,Medium (4-6),Red Zone
52,DEMO_0000,TEAM_03,TEAM_04,3,4,13,2,-1,run,9,-0.373,1,1,0,Medium (4-6),Red Zone
53,DEMO_0000,TEAM_05,TEAM_08,2,3,21,3,-4,pass,19,0.147,1,1,0,Short (1-3),Plus Territory
54,DEMO_0000,TEAM_06,TEAM_10,2,14,14,3,15,pass,9,0.355,0,1,0,Very Long (11+),Red Zone
55,DEMO_0000,TEAM_06,TEAM_09,3,11,55,1,15,pass,6,0.073,0,1,1,Very Long (11+),Own Territory
56,DEMO_0000,TEAM_01,TEAM_10,3,7,24,1,9,run,9,0.626,1,1,0,Long (7-10),Plus Territory
57,DEMO_0000,TEAM_07,TEAM_09,3,11,65,2,-1,pass,2,-0.423,1,1,0,Very Long (11+),Own Territory
58,DEMO_0000,TEAM_02,TEAM_06,3,12,86,3,4,pass,1,-0.756,0,1,0,Very Long (11+),Backed Up
59,DEMO_0000,TEAM_09,TEAM_11,3,6,14,2,-8,run,6,0.03,0,0,0,Medium (4-6),Red Zone
60,DEMO_0000,TEAM_09,TEAM_02,1,4,17,1,1,run,12,1.69,1,0,0,Medium (4-6),Red Zone
61,DEMO_0000,TEAM_12,TEAM_08,1,9,18,4,-12,run,9,-0.658,0,0,0,Long (7-10),Red Zone
62,DEMO_0000,TEAM_09,TEAM_02,4,14,80,3,8,run,5,0.198,1,0,0,Very Long (11+),Own Territory
63,DEMO_0000,TEAM_05,TEAM_10,2,10,97,4,16,pass,15,-0.07,1,1,1,Long (7-10),Backed Up
64,DEMO_0000,TEAM_12,TEAM_01,1,16,77,4,-11,run,6,-1.146,0,1,0,Very Long (11+),Own Territory
65,DEMO_0000,TEAM_05,TEAM_03,2,12,68,4,18,run,6,0.244,0,1,1,Very Long (11+),Own Territory
66,DEMO_0000,TEAM_04,TEAM_06,2,22,61,3,6,pass,17,0.861,1,0,0,Very Long (11+),Own Territory
67,DEMO_0000,TEAM_11,TEAM_08,3,9,20,4,-8,pass,7,-1.075,0,1,0,Long (7-10),Red Zone
68,DEMO_0000,TEAM_05,TEAM_01,3,6,47,3,3,run,2,0.428,1,1,0,Medium (4-6),Plus Territory
69,DEMO_0000,TEAM_01,TEAM_04,1,11,91,1,15,pass,15,0.525,1,1,0,Very Long (11+),Backed Up
70,DEMO_0000,TEAM_06,TEAM_04,1,14,36,4,12,run,3,0.201,1,1,1,Very Long (11+),Plus Territory
71,DEMO_0000,TEAM_10,TEAM_09,1,8,3,1,12,run,2,0.667,1,0,0,Long (7-10),Red Zone
72,DEMO_0000,TEAM_03,TEAM_12,3,12,22,4,-4,run,9,-0.243,0,1,0,Very Long (11+),Plus Territory
73,DEMO_0000,TEAM_06,TEAM_08,1,5,50,4,-9,run,6,-0.023,0,0,1,Medium (4-6),Plus Territory
74,DEMO_0000,TEAM_02,TEAM_07,2,12,69,1,0,pass,5,0.555,0,0,0,Very Long (11+),Own Territory
75,DEMO_0000,TEAM_09,TEAM_04,2,25,43,1,1,pass,13,-1.318,0,1,0,Very Long (11+),Plus Territory
76,DEMO_0000,TEAM_06,TEAM_11,2,5,46,4,-2,run,1,-1.192,0,1,0,Medium (4-6),Plus Territory
77,DEMO_0000,TEAM_04,TEAM_02,2,8,69,4,-6,run,4,-0.61,0,1,0,Long (7-10),Own Territory
78,DEMO_0000,TEAM_03,TEAM_02,2,10,28,3,-10,pass,2,-0.434,0,1,0,Long (7-10),Plus Territory
79,DEMO_0000,TEAM_07,TEAM_03,2,7,79,2,7,pass,-5,0.239,0,1,0,Long (7-10),Own Territory
80,DEMO_0000,TEAM_09,TEAM_03,1,6,33,4,-7,pass,5,-0.816,0,1,0,Medium (4-6),Plus Territory
81,DEMO_0000,TEAM_12,TEAM_06,1,7,11,3,8,pass,3,-0.608,0,0,0,Long (7-10),Red Zone
82,DEMO_0000,TEAM_06,TEAM_12,2,13,14,4,-3,run,2,-0.525,0,0,0,Very Long (11+),Red Zone
83,DEMO_0000,TEAM_02,TEAM_09,1,3,36,2,-1,pass,0,-0.366,1,1,0,Short (1-3),Plus Territory
84,DEMO_0000,TEAM_10,TEAM_05,3,4,5,2,-12,run,1,0.268,0,0,0,Medium (4-6),Red Zone
85,DEMO_0000,TEAM_08,TEAM_03,1,6,19,3,4,pass,-1,-1.223,0,1,0,Medium (4-6),Red Zone
86,DEMO_0000,TEAM_09,TEAM_08,3,12,44,3,-3,pass,12,-0.374,1,0,0,Very Long (11+),Plus Territory
87,DEMO_0000,TEAM_02,TEAM_04,1,7,94,1,-11,run,6,-0.007,1,0,1,Long (7-10),Backed Up
88,DEMO_0000,TEAM_04,TEAM_12,3,5,97,1,-2,run,5,-0.554,0,0,0,Medium (4-6),Backed Up
89,DEMO_0000,TEAM_10,TEAM_06,1,16,76,4,-9,pass,25,0.589,1,0,0,Very Long (11+),Own Territory
90,DEMO_0000,TEAM_10,TEAM_07,2,8,94,3,-16,pass,14,0.347,0,1,0,Long (7-10),Backed Up
91,DEMO_0000,TEAM_06,TEAM_11,1,6,61,1,8,pass,3,0.472,1,0,0,Medium (4-6),Own Territory
92,DEMO_0000,TEAM_10,TEAM_04,2,10,14,2,-11,run,1,0.27,1,1,0,Long (7-10),Red Zone
93,DEMO_0000,TEAM_11,TEAM_06,1,10,66,4,5,pass,7,-0.454,0,1,0,Long (7-10),Own Territory
94,DEMO_0000,TEAM_05,TEAM_07,3,8,55,1,23,pass,3,0.129,0,1,0,Long (7-10),Own Territory
95,DEMO_0000,TEAM_11,TEAM_03,2,5,85,3,-9,pass,2,-0.243,0,1,0,Medium (4-6),Backed Up
96,DEMO_0000,TEAM_04,TEAM_01,4,12,35,3,5,run,-5,0.159,0,1,0,Very Long (11+),Plus Territory
97,DEMO_0000,TEAM_03,TEAM_05,2,18,82,4,-4,pass,12,0.382,0,0,0,Very Long (11+),Backed Up
98,DEMO_0000,TEAM_09,TEAM_02,2,9,65,4,2,run,9,0.702,1,0,0,Long (7-10),Own Territory
99,DEMO_0000,TEAM_08,TEAM_09,3,3,74,3,-18,run,5,0.315,0,1,0,Short (1-3),Own Territory
100,DEMO_0000,TEAM_02,TEAM_01,1,24,3,4,4,pass,15,-0.361,0,1,0,Very Long (11+),Red Zone
101,DEMO_0000,TEAM_10,TEAM_04,2,10,96,4,1,pass,-3,-0.844,0,1,0,Long (7-10),Backed Up
102,DEMO_0000,TEAM_03,TEAM_11,1,4,54,2,24,run,0,-0.356,0,0,0,Medium (4-6),Own Territory
103,DEMO_0000,TEAM_10,TEAM_07,2,12,65,1,-20,run,4,0.839,1,1,0,Very Long (11+),Own Territory
104,DEMO_0000,TEAM_01,TEAM_09,1,14,46,2,-5,pass,11,-0.544,0,1,0,Very Long (11+),Plus Territory
105,DEMO_0000,TEAM_10,TEAM_08,1,7,14,4,5,run,13,0.673,0,1,0,Long (7-10),Red Zone
106,DEMO_0000,TEAM_10,TEAM_04,2,2,56,3,9,pass,-4,-0.535,0,0,0,Short (1-3),Own Territory
107,DEMO_0000,TEAM_10,TEAM_07,2,8,69,1,-1,pass,-6,-0.505,0,1,0,Long (7-10),Own Territory
108,DEMO_0000,TEAM_08,TEAM_03,1,4,16,2,13,pass,8,0.477,1,1,0,Medium (4-6),Red Zone
109,DEMO_0000,TEAM_06,TEAM_08,2,10,37,3,1,run,9,-0.875,0,1,0,Long (7-10),Plus Territory
110,DEMO_0000,TEAM_09,TEAM_08,3,5,62,1,1,pass,11,-0.097,1,1,0,Medium (4-6),Own Territory
111,DEMO_0000,TEAM_04,TEAM_11,1,9,29,3,-17,run,3,0.18,0,0,0,Long (7-10),Plus Territory
112,DEMO_0000,TEAM_10,TEAM_12,1,6,30,1,6,run,3,0.414,1,1,0,Medium (4-6),Plus Territory
113,DEMO_0000,TEAM_07,TEAM_01,4,9,12,3,15,pass,12,-0.218,0,0,0,Long (7-10),Red Zone
114,DEMO_0000,TEAM_06,TEAM_04,3,12,51,2,-10,pass,12,-0.084,0,1,0,Very Long (11+),Own Territory
115,DEMO_0000,TEAM_07,TEAM_08,1,12,12,2,-4,pass,-3,0.001,0,1,0,Very Long (11+),Red Zone
116,DEMO_0000,TEAM_07,TEAM_04,2,4,87,1,-14,run,2,0.738,0,1,0,Medium (4-6),Backed Up
117,DEMO_0000,TEAM_01,TEAM_08,1,6,18,3,5,run,3,0.333,0,0,0,Medium (4-6),Red Zone
118,DEMO_0000,TEAM_02,TEAM_11,3,6,10,3,-2,pass,-9,-0.603,0,1,1,Medium (4-6),Red Zone
119,DEMO_0000,TEAM_03,TEAM_04,1,8,92,4,8,run,5,0.626,0,1,0,Long (7-10),Backed Up
120,DEMO_0000,TEAM_02,TEAM_11,1,15,40,3,-1,pass,7,0.665,1,1,0,Very Long (11+),Plus Territory
121,DEMO_0000,TEAM_06,TEAM_11,1,7,20,3,-1,run,11,-0.117,0,0,0,Long (7-10),Red Zone
122,DEMO_0000,TEAM_09,TEAM_12,2,10,55,2,-1,pass,-1,-0.929,0,1,0,Long (7-10),Own Territory
123,DEMO_0000,TEAM_08,TEAM_01,1,7,11,1,2,pass,5,-1.284,0,1,0,Long (7-10),Red Zone
124,DEMO_0000,TEAM_06,TEAM_04,3,5,41,3,0,run,1,0.111,1,1,0,Medium (4-6),Plus Territory
125,DEMO_0000,TEAM_11,TEAM_02,2,3,66,1,4,pass,16,0.208,1,1,0,Short (1-3),Own Territory
126,DEMO_0000,TEAM_07,TEAM_02,2,5,48,3,14,run,3,-0.417,0,1,1,Medium (4-6),Plus Territory
127,DEMO_0000,TEAM_01,TEAM_02,3,3,92,1,10,pass,12,-0.103,1,1,0,Short (1-3),Backed Up
128,DEMO_0000,TEAM_10,TEAM_05,1,4,72,1,18,pass,-1,-0.632,0,0,1,Medium (4-6),Own Territory
129,DEMO_0000,TEAM_07,TEAM_01,1,9,65,3,-12,pass,18,1.335,1,1,0,Long (7-10),Own Territory
130,DEMO_0000,TEAM_08,TEAM_04,1,9,67,4,-8,pass,-14,-0.396,0,1,0,Long (7-10),Own Territory
131,DEMO_0001,TEAM_07,TEAM_12,3,13,68,3,11,pass,17,1.854,1,1,0,Very Long (11+),Own Territory
132,DEMO_0001,TEAM_07,TEAM_11,1,2,48,3,-10,run,6,-0.759,1,0,0,Short (1-3),Plus Territory
133,DEMO_0001,TEAM_02,TEAM_12,3,11,11,4,16,pass,-7,-0.635,0,0,0,Very Long (11+),Red Zone
134,DEMO_0001,TEAM_07,TEAM_01,2,1,26,2,-5,pass,24,1.333,1,0,0,Short (1-3),Plus Territory
135,DEMO_0001,TEAM_10,TEAM_08,2,5,31,3,-1,pass,2,0.471,0,1,0,Medium (4-6),Plus Territory
136,DEMO_0001,TEAM_04,TEAM_08,2,7,26,2,-4,run,10,-0.045,0,1,0,Long (7-10),Plus Territory
137,DEMO_0001,TEAM_08,TEAM_02,1,5,28,4,0,run,8,-0.057,0,0,0,Medium (4-6),Plus Territory
138,DEMO_0001,TEAM_01,TEAM_11,1,7,76,3,17,pass,10,0.818,1,1,0,Long (7-10),Own Territory
139,DEMO_0001,TEAM_05,TEAM_06,3,8,94,2,13,pass,12,-0.174,0,1,0,Long (7-10),Backed Up
140,DEMO_0001,TEAM_06,TEAM_12,1,1,45,2,20,run,5,-0.377,0,0,0,Short (1-3),Plus Territory
141,DEMO_0001,TEAM_12,TEAM_02,2,10,49,3,23,pass,0,0.324,1,1,0,Long (7-10),Plus Territory
142,DEMO_0001,TEAM_03,TEAM_09,4,5,33,2,-5,pass,10,-0.392,0,1,0,Medium (4-6),Plus Territory
143,DEMO_0001,TEAM_04,TEAM_02,1,11,63,1,-10,pass,25,1.323,1,1,0,Very Long (11+),Own Territory
144,DEMO_0001,TEAM_05,TEAM_12,1,11,68,3,2,run,6,-0.914,0,1,1,Very Long (11+),Own Territory
145,DEMO_0001,TEAM_12,TEAM_07,1,8,6,3,3,run,0,-0.588,0,1,1,Long (7-10),Red Zone
146,DEMO_0001,TEAM_11,TEAM_01,1,12,50,1,-15,run,6,-0.38,0,0,1,Very Long (11+),Plus Territory
147,DEMO_0001,TEAM_01,TEAM_04,4,4,43,2,8,run,6,0.322,0,1,0,Medium (4-6),Plus Territory
148,DEMO_0001,TEAM_03,TEAM_05,4,5,44,3,-10,run,4,-0.028,0,0,0,Medium (4-6),Plus Territory
149,DEMO_0001,TEAM_10,TEAM_01,1,2,51,1,-4,run,7,1.199,1,0,0,Short (1-3),Own Territory
150,DEMO_0001,TEAM_01,TEAM_02,4,10,14,4,7,pass,1,0.486,0,1,0,Long (7-10),Red Zone
151,DEMO_0001,TEAM_11,TEAM_12,1,7,80,3,5,run,0,0.582,0,0,0,Long (7-10),Own Territory
152,DEMO_0001,TEAM_04,TEAM_12,4,6,90,2,1,pass,30,0.691,0,1,0,Medium (4-6),Backed Up
153,DEMO_0001,TEAM_12,TEAM_06,3,6,11,4,2,pass,0,0.032,1,0,0,Medium (4-6),Red Zone
154,DEMO_0001,TEAM_04,TEAM_11,1,6,83,3,7,run,8,-0.681,0,1,1,Medium (4-6),Backed Up
155,DEMO_0001,TEAM_06,TEAM_09,2,4,56,4,-6,run,6,-0.021,1,0,1,Medium (4-6),Own Territory
156,DEMO_0001,TEAM_08,TEAM_01,3,3,83,4,3,run,9,-0.481,0,0,0,Short (1-3),Backed Up
157,DEMO_0001,TEAM_02,TEAM_09,1,18,19,2,0,pass,-2,-1.293,0,0,0,Very Long (11+),Red Zone
158,DEMO_0001,TEAM_07,TEAM_01,1,9,19,2,1,run,1,0.159,1,0,0,Long (7-10),Red Zone
159,DEMO_0001,TEAM_07,TEAM_10,2,6,1,4,12,run,8,1.455,1,1,0,Medium (4-6),Red Zone
160,DEMO_0001,TEAM_10,TEAM_05,1,6,50,1,3,pass,-4,0.658,1,0,0,Medium (4-6),Plus Territory
161,DEMO_0001,TEAM_12,TEAM_02,1,9,41,2,14,run,8,0.504,0,1,0,Long (7-10),Plus Territory
162,DEMO_0001,TEAM_08,TEAM_03,1,14,94,3,-5,pass,16,-0.155,1,1,0,Very Long (11+),Backed Up
163,DEMO_0001,TEAM_05,TEAM_09,2,8,56,4,-1,pass,1,1.128,1,1,0,Long (7-10),Own Territory
164,DEMO_0001,TEAM_05,TEAM_11,1,22,92,3,-15,pass,-9,-1.74,0,1,0,Very Long (11+),Backed Up
165,DEMO_0001,TEAM_06,TEAM_08,2,10,26,1,-10,run,5,-0.313,1,0,1,Long (7-10),Plus Territory
166,DEMO_0001,TEAM_10,TEAM_02,1,5,4,3,-4,pass,18,0.05,1,1,0,Medium (4-6),Red Zone
167,DEMO_0001,TEAM_04,TEAM_11,1,3,83,3,5,pass,-12,0.248,0,1,0,Short (1-3),Backed Up
168,DEMO_0001,TEAM_03,TEAM_10,2,13,1,1,-5,pass,6,0.392,0,1,0,Very Long (11+),Red Zone
169,DEMO_0001,TEAM_05,TEAM_06,1,4,85,2,-11,run,5,-0.081,1,0,0,Medium (4-6),Backed Up
170,DEMO_0001,TEAM_01,TEAM_08,2,11,51,2,3,pass,6,0.899,1,1,0,Very Long (11+),Own Territory
171,DEMO_0001,TEAM_02,TEAM_12,1,9,58,3,-17,run,1,-0.15,1,0,0,Long (7-10),Own Territory
172,DEMO_0001,TEAM_02,TEAM_06,2,3,21,3,-16,run,11,0.159,1,1,1,Short (1-3),Plus Territory
173,DEMO_0001,TEAM_10,TEAM_01,1,9,27,3,-8,run,11,0.71,1,1,0,Long (7-10),Plus Territory
174,DEMO_0001,TEAM_09,TEAM_02,3,10,21,4,4,pass,22,-0.416,1,1,1,Long (7-10),Plus Territory
175,DEMO_0001,TEAM_09,TEAM_07,1,6,74,3,-9,pass,-4,0.224,1,0,0,Medium (4-6),Own Territory
176,DEMO_0001,TEAM_06,TEAM_12,3,6,47,1,1,run,1,-0.584,0,0,0,Medium (4-6),Plus Territory
177,DEMO_0001,TEAM_09,TEAM_10,1,6,11,3,7,run,0,-0.344,0,0,1,Medium (4-6),Red Zone
178,DEMO_0001,TEAM_02,TEAM_08,1,13,5,1,5,run,-2,-0.129,0,0,0,Very Long (11+),Red Zone
179,DEMO_0001,TEAM_11,TEAM_04,2,5,72,1,17,pass,2,0.005,0,1,0,Medium (4-6),Own Territory
180,DEMO_0001,TEAM_07,TEAM_05,1,2,67,3,2,run,11,0.2,1,1,1,Short (1-3),Own Territory
181,DEMO_0001,TEAM_12,TEAM_01,1,7,32,3,14,pass,17,0.668,1,1,0,Long (7-10),Plus Territory
182,DEMO_0001,TEAM_02,TEAM_06,3,2,35,4,6,run,6,-0.215,0,1,0,Short (1-3),Plus Territory
183,DEMO_0001,TEAM_06,TEAM_08,3,8,80,3,-4,pass,-8,-0.901,0,1,1,Long (7-10),Own Territory
184,DEMO_0001,TEAM_09,TEAM_11,2,4,8,3,-10,pass,-2,-1.097,0,1,0,Medium (4-6),Red Zone
185,DEMO_0001,TEAM_06,TEAM_12,4,6,96,1,2,pass,5,0.387,1,1,0,Medium (4-6),Backed Up
186,DEMO_0001,TEAM_06,TEAM_11,2,4,85,4,-13,pass,13,1.408,1,1,1,Medium (4-6),Backed Up
187,DEMO_0001,TEAM_02,TEAM_01,1,16,14,2,-2,run,-1,0.7,1,1,0,Very Long (11+),Red Zone
188,DEMO_0001,TEAM_05,TEAM_10,3,9,52,2,-1,run,9,0.334,1,1,0,Long (7-10),Own Territory
189,DEMO_0001,TEAM_03,TEAM_04,1,4,56,3,12,pass,-5,-0.588,0,1,0,Medium (4-6),Own Territory
190,DEMO_0001,TEAM_04,TEAM_08,1,8,91,4,-7,run,2,-0.915,1,0,0,Long (7-10),Backed Up
191,DEMO_0001,TEAM_09,TEAM_12,1,3,60,2,4,run,3,-1.216,1,0,0,Short (1-3),Own Territory
192,DEMO_0001,TEAM_08,TEAM_11,1,6,1,3,-10,run,7,1.069,1,1,0,Medium (4-6),Red Zone
193,DEMO_0001,TEAM_08,TEAM_09,1,14,29,3,9,pass,-6,-0.098,0,0,0,Very Long (11+),Plus Territory
194,DEMO_0001,TEAM_05,TEAM_04,1,9,58,1,15,pass,2,-1.144,1,1,0,Long (7-10),Own Territory
195,DEMO_0001,TEAM_12,TEAM_06,2,4,38,2,-8,pass,-1,-0.175,1,1,0,Medium (4-6),Plus Territory
196,DEMO_0001,TEAM_02,TEAM_09,3,3,47,1,1,run,6,-1.112,0,0,1,Short (1-3),Plus Territory
197,DEMO_0001,TEAM_05,TEAM_07,3,10,94,1,26,run,2,-0.07,0,1,0,Long (7-10),Backed Up
198,DEMO_0001,TEAM_02,TEAM_06,1,18,93,1,-7,run,3,-0.171,0,0,1,Very Long (11+),Backed Up
199,DEMO_0001,TEAM_05,TEAM_06,1,6,27,2,-15,run,10,0.834,1,0,0,Medium (4-6),Plus Territory
200,DEMO_0001,TEAM_12,TEAM_07,2,13,18,3,2,run,6,0.112,0,1,0,Very Long (11+),Red Zone
201,DEMO_0001,TEAM_05,TEAM_01,1,9,95,1,-11,pass,0,-1.286,0,1,0,Long (7-10),Backed Up
202,DEMO_0001,TEAM_11,TEAM_12,1,10,55,2,4,pass,0,-0.591,0,1,0,Long (7-10),Own Territory
203,DEMO_0001,TEAM_06,TEAM_02,2,3,59,3,9,run,9,0.802,1,1,0,Short (1-3),Own Territory
204,DEMO_0001,TEAM_09,TEAM_12,3,6,18,1,-10,pass,10,0.226,1,1,0,Medium (4-6),Red Zone
205,DEMO_0001,TEAM_06,TEAM_01,1,6,64,2,-15,pass,-2,-0.527,0,1,0,Medium (4-6),Own Territory
206,DEMO_0001,TEAM_04,TEAM_07,2,2,86,3,10,pass,10,0.733,1,1,0,Short (1-3),Backed Up
207,DEMO_0001,TEAM_10,TEAM_05,2,5,14,3,17,run,1,0.019,0,1,0,Medium (4-6),Red Zone
208,DEMO_0001,TEAM_12,TEAM_07,3,5,34,2,-3,run,7,0.032,1,1,0,Medium (4-6),Plus Territory
209,DEMO_0001,TEAM_04,TEAM_06,1,4,41,2,14,pass,-1,0.675,1,1,1,Medium (4-6),Plus Territory
210,DEMO_0001,TEAM_10,TEAM_11,3,6,45,4,18,pass,13,0.453,0,1,0,Medium (4-6),Plus Territory
211,DEMO_0001,TEAM_04,TEAM_01,3,11,23,4,7,run,2,-0.226,0,1,0,Very Long (11+),Plus Territory
212,DEMO_0001,TEAM_09,TEAM_12,1,11,69,2,1,pass,6,0.611,1,1,0,Very Long (11+),Own Territory
213,DEMO_0001,TEAM_10,TEAM_08,2,15,22,3,7,pass,14,0.22,1,0,0,Very Long (11+),Plus Territory
214,DEMO_0001,TEAM_06,TEAM_10,2,12,27,3,9,pass,15,0.376,1,1,0,Very Long (11+),Plus Territory
215,DEMO_0001,TEAM_09,TEAM_02,1,8,55,1,-22,run,3,-0.68,0,0,0,Long (7-10),Own Territory
216,DEMO_0001,TEAM_04,TEAM_01,1,15,12,1,-1,run,10,-0.077,0,0,0,Very Long (11+),Red Zone
217,DEMO_0001,TEAM_01,TEAM_06,1,5,84,1,-13,pass,8,-0.337,1,0,0,Medium (4-6),Backed Up
218,DEMO_0001,TEAM_02,TEAM_05,3,7,45,1,-9,pass,-6,0.019,1,1,0,Long (7-10),Plus Territory
